# source : https://fr.wiktionary.org/wiki/Annexe:Grammaire_en_allemand/D%C3%A9terminants
# lemme	# masc sg	# fem sg	# neutre sg	# plur
ein	ein,einen,eines,einem	eine,eine,einer,einer	ein,ein,eines,einem	
der	der,den,des,dem	die,die,der,der	das,das,des,dem	die,die,der,den
mein	mein,meinn,meines,meinem	meine,meine,meiner,meiner	mein,mein,meines,meinem	meine,meine,meiner,meinen
dein	dein,deinen,deines,deinem	deine,deine,deiner,deiner	dein,dein,deines,deinem	deine,deine,deiner,deinen
sein	sein,seinen,seines,seinem	seine,seine,seiner,seiner	sein,sein,seines,seinem	seine,seine,seiner,seinen
unser	unser,unseren,unseres,unserem	unsere,unsere,unserer,unserer	unser,unser,unseres,unserem	unsere,unsere,unserer,unseren
euer	euer,eueren,eueres,euerem	euere,euere,euerer,euerer	euer,euer,eueres,euerem	euere,euere,euerer,eueren
ihr	ihr,ihren,ihres,ihrem	ihre,ihre,ihrer,ihrer	ihr,ihr,ihres,ihrem	ihre,ihre,ihrer,ihren
dies	dieser,diesen,dieses,diesem	diese,diese,dieser,dieser	dieses,dieses,dieses,diesem	diese,diese,dieser,diesen
jen	jener,jenen,jenes,jenem	jene,jene,jener,jener	jenes,jenes,jenes,jenem	jene,jene,jener,jenen
derjenige	derjenige,denjenigen,desjenigen,demjenigen	diejenige,diejenige,derjenigen,derjenigen	dasjenige,dasjenige,desjenigen,demjenigen	diejenigen,diejenigen,derjenigen,denjenigen
derselbe	derselbe,denselben,desselben,demselben	dieselbe,dieselbe,derselben,derselben	dasselbe,dasselbe,desselben,demselben	dieselben,dieselben,derselben,denselben
kein	kein,keinen,keines,keinem	keine,keine,keiner,keiner	kein,kein,keines,keinem	keine,kein,keinr,keinen
alle	aller,allen,alles,allem	alle,alle,aller,aller	alles,alles,alles,allem	alle,alle,aller,allen
